time,temp
1727810416.3247209,44.2
1727810416.4405258,44.2
1727810416.6104062,44.2
1727810416.726412,44.3
1727810416.894786,47.4
1727810417.008636,47.4
1727810417.1211474,48.5
1727810417.2369552,48.5
1727810417.3500223,52.6
1727810417.5195403,52.6
1727810417.69086,50.7
1727810417.8072085,50.7
1727810417.963017,52.7
1727810418.1204877,47.7
1727810418.2766094,47.7
1727810418.4341958,48.0
1727810418.548754,48.0
1727810418.6614234,51.1
1727810418.823603,51.1
1727810418.9786892,52.7
1727810419.091168,50.5
1727810419.206989,50.5
1727810419.3238027,47.8
1727810419.480615,47.8
1727810419.6349998,53.8
1727810419.7923138,53.8
1727810419.9072542,46.3
1727810420.0715904,46.3
1727810420.1885402,51.5
1727810420.3561525,51.5
1727810420.4726517,50.2
1727810420.5898023,52.6
1727810420.707113,52.6
1727810420.8201394,49.5
1727810420.9787302,49.5
1727810421.135071,55.3
1727810421.292421,55.3
1727810421.4085667,54.3
1727810421.5253427,54.3
1727810421.6814182,53.2
1727810421.7971444,53.2
1727810421.9132586,52.1
1727810422.0791469,52.1
1727810422.2513337,53.8
1727810422.3682804,59.0
1727810422.525027,59.0
1727810422.6815398,54.4
1727810422.7966993,54.4
1727810422.9610052,49.3
1727810423.0760388,54.2
1727810423.2310605,54.2
1727810423.3868,51.7
1727810423.5039926,51.7
1727810423.6599872,56.5
1727810423.815137,56.5
1727810423.9318619,57.9
1727810424.0449016,57.9
1727810424.1613958,51.8
1727810424.2780848,51.8
1727810424.3950405,55.9
1727810424.5110428,55.9
1727810424.624603,51.8
1727810424.7867012,51.8
1727810424.9509468,57.3
1727810425.0677574,52.9
1727810425.2326276,52.9
1727810425.3491864,57.8
1727810425.505978,57.8
1727810425.619127,57.2
1727810425.7346728,57.2
1727810425.8992267,57.8
1727810426.0131414,57.8
1727810426.1807237,54.2
1727810426.2969868,54.2
1727810426.4127283,56.9
1727810426.5786853,56.9
1727810426.6956265,58.8
1727810426.8644564,58.8
1727810427.0335464,54.0
